Order_ID,Date,Product,Category,Region,Segment,Sales_Rep,Quantity,Unit_Price,Discount,Revenue,Status
ORD-20174,2024-01-01,Headset,Electronics,South,Premium,Alice Monroe,4,113.3,0.13,394.29,Completed
ORD-20471,2024-01-01,Monitor,Electronics,North,Premium,Eva Patel,6,321.65,0.15,1640.44,Completed
ORD-20632,2024-01-01,Keyboard,Accessories,South,Premium,Alice Monroe,5,79.81,0.15,339.19,Completed
ORD-20543,2024-01-01,Headset,Electronics,East,Standard,Henry Zhang,11,125.77,0.1,1245.16,Completed
ORD-20341,2024-01-02,Docking Station,Accessories,South,Budget,Frank Torres,10,195.25,0.19,1581.56,Completed
ORD-21115,2024-01-02,Docking Station,Accessories,North,Premium,Eva Patel,8,211.83,0.12,1491.3,Returned
ORD-20233,2024-01-02,USB Hub,Accessories,West,Premium,Henry Zhang,11,37.29,0.05,389.73,Pending
ORD-20606,2024-01-02,Laptop,Electronics,North,Budget,Frank Torres,9,1152.6,0.01,10269.69,Completed
ORD-21176,2024-01-02,Webcam,Electronics,North,Premium,Carol Singh,1,98.15,0.19,79.5,Returned
ORD-20062,2024-01-02,Laptop,Electronics,East,Standard,Alice Monroe,8,1182.39,0.18,7756.45,Completed
ORD-20514,2024-01-02,Laptop,Electronics,East,Standard,David Kim,2,1183.67,0.19,1917.55,Returned
ORD-21088,2024-01-04,Keyboard,Accessories,West,Budget,Grace Lee,2,73.71,0.14,126.78,Completed
ORD-20312,2024-01-04,Monitor,Electronics,East,Premium,David Kim,12,361.46,0.18,3556.76,Completed
ORD-20377,2024-01-05,Monitor,Electronics,South,Budget,Grace Lee,5,371.48,0.1,1671.65,Pending
ORD-20950,2024-01-05,Laptop,Electronics,South,Premium,Alice Monroe,7,1309.46,0.13,7974.6,Pending
ORD-20809,2024-01-05,Docking Station,Accessories,North,Standard,Eva Patel,8,184.06,0.04,1413.57,Completed
ORD-20090,2024-01-05,Webcam,Electronics,North,Budget,Frank Torres,9,97.52,0.06,825.01,Pending
ORD-20954,2024-01-05,Laptop,Electronics,North,Standard,Henry Zhang,7,1219.95,0.13,7429.47,Pending
ORD-20888,2024-01-06,Laptop,Electronics,East,Budget,Carol Singh,4,1199.03,0.06,4508.36,Pending
ORD-20123,2024-01-06,Laptop,Electronics,North,Budget,Alice Monroe,2,1313.87,0.08,2417.51,Completed
ORD-21110,2024-01-06,Laptop,Electronics,East,Premium,Henry Zhang,10,1116.87,0.2,8934.93,Completed
ORD-21192,2024-01-07,Headset,Electronics,West,Standard,David Kim,1,128.43,0.11,114.3,Completed
ORD-20489,2024-01-07,Headset,Electronics,West,Standard,Eva Patel,1,130.0,0.19,105.3,Pending
ORD-20828,2024-01-07,Mouse,Accessories,South,Standard,Grace Lee,2,49.1,0.1,88.37,Completed
ORD-20983,2024-01-07,Webcam,Electronics,West,Standard,Eva Patel,4,89.35,0.1,321.66,Completed
ORD-20835,2024-01-07,Laptop,Electronics,North,Budget,Bob Chen,10,1081.67,0.01,10708.5,Completed
ORD-20457,2024-01-08,Mouse,Accessories,West,Budget,Carol Singh,8,45.25,0.04,347.55,Completed
ORD-20372,2024-01-08,Laptop,Electronics,East,Premium,Frank Torres,2,1135.35,0.11,2020.92,Completed
ORD-20177,2024-01-08,Keyboard,Accessories,West,Budget,Frank Torres,1,75.16,0.07,69.9,Completed
ORD-20333,2024-01-09,Laptop,Electronics,North,Premium,Eva Patel,6,1155.64,0.08,6379.12,Returned
ORD-20943,2024-01-09,USB Hub,Accessories,East,Standard,Frank Torres,11,37.14,0.09,371.82,Completed
ORD-20325,2024-01-09,Keyboard,Accessories,West,Standard,Alice Monroe,5,83.61,0.12,367.86,Completed
ORD-21167,2024-01-09,Docking Station,Accessories,West,Standard,Eva Patel,10,212.84,0.06,2000.69,Pending
ORD-20672,2024-01-09,Mouse,Accessories,West,Standard,Bob Chen,10,44.08,0.14,379.05,Completed
ORD-21160,2024-01-09,Docking Station,Accessories,West,Budget,Carol Singh,2,186.4,0.01,369.07,Completed
ORD-20623,2024-01-10,Laptop,Electronics,East,Standard,Bob Chen,1,1146.05,0.03,1111.67,Pending
ORD-21117,2024-01-11,Mouse,Accessories,West,Standard,Alice Monroe,10,41.28,0.08,379.81,Completed
ORD-20465,2024-01-11,Headset,Electronics,North,Standard,Henry Zhang,6,119.94,0.19,582.92,Completed
ORD-20662,2024-01-12,Keyboard,Accessories,West,Standard,Bob Chen,11,74.05,0.05,773.78,Pending
ORD-20438,2024-01-12,USB Hub,Accessories,South,Budget,Eva Patel,3,32.23,0.14,83.16,Completed
ORD-21038,2024-01-12,Headset,Electronics,East,Premium,Alice Monroe,4,130.15,0.17,432.09,Returned
ORD-21177,2024-01-12,Monitor,Electronics,East,Premium,Bob Chen,12,346.11,0.15,3530.34,Completed
ORD-20480,2024-01-13,Headset,Electronics,West,Budget,Carol Singh,8,110.3,0.1,794.13,Completed
ORD-20023,2024-01-15,Headset,Electronics,South,Standard,Grace Lee,2,131.76,0.08,242.44,Returned
ORD-20295,2024-01-15,Keyboard,Accessories,North,Standard,Frank Torres,11,81.07,0.19,722.35,Returned
ORD-20065,2024-01-15,USB Hub,Accessories,North,Standard,David Kim,9,32.24,0.05,275.67,Completed
ORD-20890,2024-01-15,Mouse,Accessories,West,Standard,Henry Zhang,11,44.9,0.11,439.54,Pending
ORD-20608,2024-01-16,Keyboard,Accessories,East,Budget,Eva Patel,12,77.36,0.0,928.32,Completed
ORD-20827,2024-01-16,Mouse,Accessories,North,Standard,Grace Lee,10,44.87,0.17,372.43,Pending
ORD-20763,2024-01-16,Mouse,Accessories,North,Standard,David Kim,8,43.69,0.04,335.5,Pending
ORD-20777,2024-01-16,USB Hub,Accessories,North,Budget,Frank Torres,3,37.3,0.19,90.63,Pending
ORD-20555,2024-01-17,Docking Station,Accessories,West,Premium,Bob Chen,5,218.02,0.1,981.09,Returned
ORD-20241,2024-01-17,Laptop,Electronics,South,Standard,Alice Monroe,2,1309.46,0.0,2618.92,Returned
ORD-21169,2024-01-17,Laptop,Electronics,East,Premium,David Kim,5,1140.59,0.06,5360.77,Returned
ORD-20546,2024-01-17,Keyboard,Accessories,East,Budget,Bob Chen,2,75.58,0.16,126.97,Completed
ORD-20228,2024-01-17,Monitor,Electronics,East,Budget,Carol Singh,5,371.36,0.08,1708.26,Completed
ORD-20391,2024-01-17,Webcam,Electronics,South,Standard,Alice Monroe,4,85.38,0.13,297.11,Pending
ORD-20231,2024-01-17,Mouse,Accessories,West,Standard,Alice Monroe,3,42.88,0.11,114.5,Completed
ORD-20490,2024-01-18,USB Hub,Accessories,South,Standard,Frank Torres,12,35.96,0.08,396.99,Completed
ORD-21183,2024-01-18,Docking Station,Accessories,North,Budget,Grace Lee,8,183.56,0.18,1204.17,Returned
ORD-20353,2024-01-18,Docking Station,Accessories,East,Standard,Henry Zhang,1,202.46,0.18,166.01,Completed
ORD-20873,2024-01-19,Docking Station,Accessories,South,Standard,Alice Monroe,4,203.95,0.05,775.03,Completed
ORD-20343,2024-01-19,Keyboard,Accessories,North,Budget,Bob Chen,2,74.27,0.18,121.8,Completed
ORD-20758,2024-01-19,Mouse,Accessories,South,Budget,Eva Patel,7,47.71,0.07,310.59,Returned
